[1218/151850.725:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_2_green_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.725:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_2_green_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.746:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.746:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_2_red_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.747:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_light_2_red_light.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.778:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.778:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_sign_primitive_5.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.778:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/traffic_sign_primitive_5.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.794:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.812:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.812:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/person.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151850.832:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151850.835:INFO:CONSOLE(255)] "Loaded: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/car.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151850.835:INFO:CONSOLE(271)] "load end: file:C:/ProgramData/AnyLogic 8.9 Personal Learning Edition/eclipse/plugins/com.anylogic.examples_8.9.6.202509050523/basicmodels/Pedestrian Crossing/3d/car.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151905.409:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151905.411:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/car.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151905.412:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/car.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151905.504:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151905.513:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bus_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151905.513:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bus_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151905.539:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151905.548:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bus_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151905.549:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bus_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151905.575:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151905.586:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bus_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
[1218/151905.586:INFO:CONSOLE(271)] "load end: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/bus_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (271)
[1218/151905.648:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/libs/ColladaLoader.js (3660)
[1218/151905.650:INFO:CONSOLE(255)] "Loaded: file:C:/Users/qabdu/OneDrive/Desktop/SmartTrafficMAS/smart_city/smart_city/3d/lorry.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.9.6.202509050523/static/init.js (255)
